seed,start_x,start_y,goal_x,goal_y,straight_m
53,-0.56,17.26,14.09,6.96,17.91
54,0.35,0.52,14.38,16.26,21.09
55,14.42,1.81,1.8,14.63,17.99
56,16.21,16.7,0.46,4.37,20.0
57,1.78,17.49,5.89,0.01,17.96
58,5.37,-0.43,14.72,16.95,19.74
59,10.24,3.28,17.51,17.45,15.93
60,17.31,0.86,10.76,12.65,13.49
61,13.12,14.12,3.96,3.83,13.78
62,16.66,1.27,4.59,10.58,15.24
63,8.51,-0.2,12.08,12.71,13.39
64,17.02,16.18,1.63,3.74,19.79
65,8.61,16.51,5.35,-0.21,17.03
66,13.82,0.26,14.33,15.58,15.33
67,10.48,15.08,13.81,0.11,15.34
68,17.18,14.18,2.14,4.83,17.71
69,-0.54,16.88,10.75,5.87,15.77
70,0.59,17.11,0.82,4.39,12.72
71,10.32,14.96,0.0,7.06,13.0
72,8.73,16.67,15.12,1.95,16.05
73,8.39,15.8,4.85,2.8,13.47
74,3.14,-0.48,4.85,12.75,13.34
75,16.99,16.97,3.13,0.37,21.63
76,16.32,12.45,-0.18,10.47,16.62
77,2.37,5.06,14.73,12.58,14.47
78,3.39,-0.09,4.47,13.55,13.68
79,17.26,16.54,16.77,1.7,14.85
80,17.22,9.53,5.24,17.56,14.42
81,0.6,-0.25,16.98,12.99,21.06
82,9.85,15.11,3.43,4.28,12.59
83,8.31,-0.45,3.72,14.45,15.59
84,16.35,1.85,2.01,4.34,14.55
85,16.83,12.44,4.76,10.73,12.19
86,2.83,0.8,13.81,17.47,19.96
87,12.53,0.2,4.16,17.0,18.77
88,9.08,15.36,16.63,4.46,13.26
89,-0.2,0.03,9.73,15.18,18.11
90,9.03,15.41,-0.38,0.55,17.59
91,3.69,-0.1,16.42,1.65,12.85
92,2.66,0.58,15.78,4.58,13.72
93,17.5,9.33,-0.05,6.98,17.71
94,16.68,4.39,8.45,16.31,14.49
95,17.44,0.03,4.53,2.58,13.16
96,16.78,1.53,3.53,-0.21,13.36
97,10.64,3.98,14.83,16.1,12.82
98,7.28,16.2,0.52,0.11,17.45
99,-0.26,-0.36,5.99,13.8,15.48
100,10.66,15.2,4.36,3.16,13.59
101,17.47,14.27,3.41,-0.52,20.41
102,8.79,10.04,0.14,0.16,13.13
103,17.14,10.01,0.11,7.83,17.17
104,16.31,4.6,1.81,4.02,14.51
105,-0.48,1.19,14.42,13.8,19.52
106,13.84,-0.34,8.83,13.53,14.75
107,16.89,9.76,5.76,14.41,12.06
108,17.13,1.21,3.19,14.73,19.42
109,0.2,17.57,12.99,13.43,13.44
110,0.48,-0.21,13.31,15.01,19.91
111,1.57,17.48,5.14,3.62,14.31
112,16.94,16.21,6.21,9.0,12.93
113,16.71,-0.02,3.66,9.52,16.17
114,10.95,-0.23,-0.22,4.22,12.02
115,3.88,0.66,13.99,9.31,13.31
116,4.01,-0.03,5.04,12.27,12.34
117,11.7,15.1,13.46,-0.43,15.63
118,11.26,15.54,5.61,3.14,13.63
119,1.2,-0.52,11.19,7.19,12.62
120,0.31,-0.05,15.51,4.18,15.78
121,1.31,17.2,2.73,0.51,16.75
122,0.04,8.27,12.06,0.75,14.18
123,0.53,0.37,7.56,10.26,12.13
124,8.61,0.95,12.13,12.67,12.24
125,10.77,-0.38,1.47,17.53,20.18
126,10.16,3.5,3.9,15.12,13.2
127,-0.41,13.37,13.58,14.18,14.01
128,12.17,0.19,5.72,11.76,13.25
129,17.37,14.79,0.58,14.67,16.79
130,8.53,15.87,15.77,1.82,15.81
131,17.19,9.66,1.97,4.93,15.94
132,17.2,13.58,9.74,-0.42,15.86
133,3.32,-0.32,13.64,13.49,17.24
134,13.32,0.18,0.14,0.28,13.18
135,0.5,0.19,5.35,12.84,13.55
136,12.26,14.63,1.07,7.02,13.53
137,17.38,0.93,2.43,4.55,15.38
138,0.01,0.13,5.01,17.24,17.83
139,-0.09,8.83,12.23,-0.39,15.39
140,2.02,17.03,16.72,0.66,22.0
141,16.96,12.96,-0.17,3.97,19.35
142,11.57,10.62,3.47,-0.04,13.39
143,16.45,16.15,5.28,2.87,17.35
144,0.31,0.15,9.75,14.91,17.52
145,2.07,16.91,1.5,4.16,12.76
146,0.25,-0.12,14.04,12.13,18.45
147,12.65,0.46,8.78,15.89,15.91
148,9.27,14.91,5.72,-0.5,15.81
149,16.11,1.66,9.5,12.49,12.69
150,7.31,16.23,3.91,1.32,15.29
151,17.46,8.27,4.57,2.39,14.17
152,1.81,2.59,14.31,7.96,13.6
153,4.79,-0.48,16.14,12.42,17.18
154,15.45,2.06,4.81,12.16,14.67
155,17.02,14.79,5.1,2.51,17.11
156,17.06,1.49,11.33,17.03,16.56
157,14.58,1.84,1.89,5.3,13.15
158,16.83,8.37,0.5,7.88,16.34
159,17.38,14.65,13.63,-0.18,15.3
160,17.33,16.69,5.6,-0.08,20.47
161,17.01,0.09,16.09,17.52,17.45
162,8.82,14.65,0.48,1.86,15.27
163,-0.24,9.05,17.26,16.91,19.18
164,17.31,14.37,1.06,7.5,17.64
165,3.02,0.13,1.11,17.15,17.13
166,0.26,17.09,8.97,6.69,13.57
167,4.85,-0.35,14.71,8.63,13.34
168,12.79,0.24,5.68,13.32,14.89
169,7.09,16.38,1.92,4.77,12.71
170,17.32,16.23,4.92,2.11,18.79
171,17.09,1.89,8.35,13.24,14.33
172,11.35,15.49,0.21,0.3,18.84
173,17.49,9.38,0.43,0.63,19.17
174,3.99,-0.27,14.56,9.67,14.51
175,10.51,-0.39,17.14,13.08,15.01
176,3.13,-0.41,15.12,12.54,17.65
177,4.65,4.65,7.49,17.34,13.0
178,2.8,0.47,13.57,8.4,13.37
179,-0.53,1.5,13.55,7.38,15.26
180,17.33,14.82,13.89,0.5,14.73
181,1.51,17.52,16.92,0.1,23.26
182,15.99,4.59,1.24,4.38,14.75
183,17.0,15.63,3.44,7.02,16.06
184,16.61,1.43,13.33,15.26,14.21
185,0.07,0.12,14.9,6.47,16.13
186,-0.27,0.31,15.04,3.01,15.55
187,16.8,15.8,7.85,7.19,12.42
188,16.57,4.37,8.24,16.62,14.81
189,15.5,1.72,6.0,12.59,14.44
190,3.21,0.38,0.4,17.48,17.33
191,10.94,5.09,4.78,17.35,13.72
192,-0.55,0.98,10.18,15.02,17.67
193,1.59,17.14,17.48,13.25,16.36
194,8.42,0.52,1.85,17.08,17.82
195,16.88,8.45,2.41,-0.18,16.85
196,8.81,15.45,5.21,2.52,13.42
197,4.47,-0.3,13.69,8.03,12.43
198,17.1,14.92,12.67,-0.34,15.89
199,0.73,17.29,10.27,3.15,17.06
200,7.74,16.36,2.72,4.42,12.95
201,6.87,16.32,12.92,4.52,13.26
202,5.04,-0.13,12.26,12.48,14.53
203,11.18,4.93,2.07,14.68,13.34
204,12.2,0.36,4.73,11.98,13.81
205,17.48,14.25,-0.33,8.9,18.6
206,12.92,14.78,1.8,6.63,13.79
207,17.44,1.08,8.1,10.42,13.21
208,17.51,16.36,5.38,14.7,12.24
209,0.19,7.96,13.1,7.99,12.91
210,10.55,4.09,14.34,17.21,13.66
211,13.04,0.23,5.03,13.88,15.83
212,4.1,0.03,13.58,10.29,13.97
213,3.47,-0.15,12.92,12.61,15.88
214,4.85,-0.3,17.23,4.37,13.23
215,17.43,15.6,0.21,6.54,19.46
216,16.48,1.97,14.58,15.6,13.76
217,10.47,15.15,10.08,2.18,12.98
218,3.74,0.47,-0.57,17.55,17.62
219,11.92,15.17,-0.07,4.52,16.04
220,12.53,13.51,3.7,-0.07,16.2
221,6.93,16.55,13.46,-0.25,18.02
222,7.83,0.82,7.29,16.92,16.11
223,3.68,-0.18,8.58,14.02,15.02
224,13.1,-0.33,0.59,8.25,15.17
225,5.94,4.18,14.05,13.22,12.14
226,2.09,13.36,3.54,0.46,12.98
227,0.51,8.31,14.19,17.18,16.3
228,17.28,15.68,10.37,4.02,13.55
229,10.36,-0.52,16.96,15.27,17.11
230,2.56,-0.39,8.66,17.55,18.95
231,16.74,0.68,15.09,16.22,15.63
232,17.38,1.59,-0.57,-0.34,18.05
233,12.56,13.55,2.65,-0.31,17.04
234,13.65,0.19,2.42,14.06,17.85
235,17.43,1.33,5.12,2.49,12.36
236,16.89,8.87,-0.22,14.57,18.03
237,12.67,0.43,17.23,13.2,13.56
238,10.34,3.71,-0.56,10.67,12.93
239,12.26,-0.06,0.68,8.53,14.42
240,17.22,17.15,3.58,10.67,15.1
241,0.05,17.11,6.6,6.46,12.5
242,9.91,15.02,16.41,4.24,12.59
243,13.97,0.25,8.51,16.16,16.82
244,17.19,13.05,4.51,2.49,16.5
245,11.33,15.44,2.97,6.27,12.41
246,8.34,0.09,0.75,17.55,19.04
247,16.89,0.13,17.17,12.4,12.27
248,0.14,7.9,16.73,0.1,18.33
249,-0.54,12.94,2.83,-0.36,13.72
250,9.16,14.31,16.78,0.23,16.01
251,11.6,-0.51,5.76,14.34,15.96
252,17.37,16.36,6.2,10.71,12.52
253,17.18,1.21,10.38,15.03,15.4
254,12.36,14.11,1.85,6.29,13.1
255,2.02,17.19,0.69,-0.29,17.53
256,2.56,-0.03,17.19,8.64,17.01
257,4.45,-0.22,9.53,15.1,16.14
258,17.0,9.58,5.24,3.81,13.1
259,17.3,15.0,0.8,10.5,17.1
260,2.96,-0.29,6.92,15.94,16.71
261,17.14,1.4,6.33,13.74,16.41
262,1.62,17.28,13.84,14.83,12.46
263,17.42,8.95,2.96,4.59,15.1
264,6.78,16.66,2.38,3.67,13.71
265,2.64,-0.38,5.26,14.73,15.34
266,13.93,0.06,0.68,9.3,16.15
267,2.64,-0.39,7.47,16.22,17.3
268,12.83,14.94,14.17,2.66,12.35
269,14.68,1.7,-0.29,14.56,19.74
270,11.06,4.58,2.31,14.09,12.92
271,0.89,7.71,16.98,15.44,17.85
272,16.99,0.22,14.57,16.86,16.82
273,1.13,-0.46,14.44,8.26,15.91
274,5.53,-0.26,17.33,16.6,20.58
275,-0.03,7.85,14.4,7.17,14.45
276,12.96,-0.1,2.06,13.46,17.4
277,0.26,-0.13,17.47,15.67,23.36
278,11.4,-0.44,14.32,13.5,14.24
279,17.12,-0.06,5.58,11.76,16.52
280,3.9,15.05,0.01,-0.44,15.97
281,17.5,13.05,1.29,17.03,16.69
282,-0.28,17.29,10.61,6.59,15.27
283,8.46,0.58,13.26,13.75,14.02
284,17.42,13.68,0.09,8.64,18.05
285,17.52,14.33,8.62,2.2,15.04
286,15.46,1.64,3.37,6.6,13.07
287,-0.26,7.97,15.01,17.08,17.78
288,14.89,1.91,1.96,5.34,13.38
289,16.11,16.1,3.53,-0.3,20.67
290,16.83,8.41,3.38,14.19,14.64
291,17.45,9.02,0.15,6.65,17.46
292,17.49,1.58,2.09,4.6,15.69
293,17.51,13.0,10.16,3.15,12.29
294,12.83,13.41,1.87,6.47,12.97
295,8.03,-0.42,7.36,16.6,17.03
296,8.32,16.18,17.47,4.48,14.85
297,17.04,16.69,10.42,3.95,14.36
298,17.43,8.14,2.8,10.15,14.77
299,0.64,0.05,11.24,6.27,12.29
300,0.38,17.12,12.86,0.39,20.87
